---,TileID,Latitude,Longitude
0,"0","-0.000000","121.717476"
1,"1","0.000000","58.282524"
2,"2","0.000000","-121.717476"
3,"3","-0.000000","-58.282524"
4,"4","58.282524","-90.000000"
5,"5","58.282524","90.000000"
6,"6","-58.282524","-90.000000"
7,"7","-58.282524","90.000000"
8,"8","-31.717474","0.000000"
9,"9","31.717474","-0.000000"
10,"10","-31.717474","-180.000000"
11,"11","31.717474","-180.000000"
12,"12","18.000000","148.282532"
13,"13","54.000000","148.282532"
14,"14","30.000000","110.905159"
15,"15","30.000000","69.094841"
16,"16","-0.000000","90.000000"
17,"17","-30.000000","69.094841"
18,"18","-30.000000","110.905159"
19,"19","-54.000000","148.282532"
20,"20","-18.000000","148.282532"
21,"21","0.000000","-180.000000"
22,"22","54.000000","31.717474"
23,"23","18.000000","31.717474"
24,"24","54.000000","-148.282532"
25,"25","90.000000","90.000000"
26,"26","-18.000000","-148.282532"
27,"27","18.000000","-148.282532"
28,"28","-90.000000","90.000000"
29,"29","-54.000000","-148.282532"
30,"30","-18.000000","31.717474"
31,"31","-54.000000","31.717474"
32,"32","18.000000","-31.717474"
33,"33","54.000000","-31.717474"
34,"34","30.000000","-69.094841"
35,"35","30.000000","-110.905159"
36,"36","-0.000000","-90.000000"
37,"37","-30.000000","-110.905159"
38,"38","-30.000000","-69.094841"
39,"39","-54.000000","-31.717474"
40,"40","-18.000000","-31.717474"
41,"41","0.000000","0.000000"
42,"42","8.276281","133.266739"
43,"43","25.495583","130.631256"
44,"44","13.468481","117.254356"
45,"45","42.707645","168.703125"
46,"46","35.999245","147.855942"
47,"47","26.445564","164.922165"
48,"48","46.102978","101.982086"
49,"49","43.236534","126.216217"
50,"50","59.829502","117.608940"
51,"51","15.428015","99.393524"
52,"52","-0.000000","107.541756"
53,"53","46.102978","78.017914"
54,"54","31.372356","90.000000"
55,"55","0.000000","72.458244"
56,"56","15.428015","80.606476"
57,"57","13.468481","62.745640"
58,"58","-15.428015","99.393524"
59,"59","-13.468481","117.254356"
60,"60","-13.468481","62.745640"
61,"61","-15.428015","80.606476"
62,"62","-46.102978","101.982086"
63,"63","-31.372356","90.000000"
64,"64","-46.102978","78.017914"
65,"65","-25.495583","130.631256"
66,"66","-8.276281","133.266739"
67,"67","-59.829502","117.608940"
68,"68","-43.236534","126.216217"
69,"69","-26.445564","164.922165"
70,"70","-35.999245","147.855942"
71,"71","-42.707645","168.703125"
72,"72","0.000000","148.627640"
73,"73","-17.541758","-180.000000"
74,"74","-9.052133","164.372482"
75,"75","9.052133","164.372482"
76,"76","17.541758","-180.000000"
77,"77","25.495583","49.368744"
78,"78","8.276281","46.733253"
79,"79","59.829502","62.391064"
80,"80","43.236534","53.783783"
81,"81","26.445564","15.077840"
82,"82","35.999245","32.144062"
83,"83","42.707645","11.296867"
84,"84","71.996803","149.399216"
85,"85","72.458244","90.000000"
86,"86","42.707645","-168.703125"
87,"87","58.627644","-180.000000"
88,"88","72.458244","-90.000000"
89,"89","71.996803","-149.399216"
90,"90","59.829502","-117.608940"
91,"91","9.052133","-164.372482"
92,"92","26.445564","-164.922165"
93,"93","-26.445564","-164.922165"
94,"94","-9.052133","-164.372482"
95,"95","8.276281","-133.266739"
96,"96","-0.000000","-148.627640"
97,"97","-8.276281","-133.266739"
98,"98","-58.627644","-180.000000"
99,"99","-42.707645","-168.703125"
100,"100","-72.458244","90.000000"
101,"101","-71.996803","149.399216"
102,"102","-59.829502","-117.608940"
103,"103","-71.996803","-149.399216"
104,"104","-72.458244","-90.000000"
105,"105","-43.236534","53.783783"
106,"106","-59.829502","62.391064"
107,"107","-8.276281","46.733253"
108,"108","-25.495583","49.368744"
109,"109","-42.707645","11.296867"
110,"110","-35.999245","32.144062"
111,"111","-26.445564","15.077840"
112,"112","8.276281","-46.733253"
113,"113","25.495583","-49.368744"
114,"114","13.468481","-62.745640"
115,"115","42.707645","-11.296867"
116,"116","35.999245","-32.144062"
117,"117","26.445564","-15.077840"
118,"118","46.102978","-78.017914"
119,"119","43.236534","-53.783783"
120,"120","59.829502","-62.391064"
121,"121","15.428015","-80.606476"
122,"122","-0.000000","-72.458244"
123,"123","46.102978","-101.982086"
124,"124","31.372356","-90.000000"
125,"125","0.000000","-107.541756"
126,"126","15.428015","-99.393524"
127,"127","13.468481","-117.254356"
128,"128","-15.428015","-80.606476"
129,"129","-13.468481","-62.745640"
130,"130","-13.468481","-117.254356"
131,"131","-15.428015","-99.393524"
132,"132","-46.102978","-78.017914"
133,"133","-31.372356","-90.000000"
134,"134","-46.102978","-101.982086"
135,"135","-25.495583","-49.368744"
136,"136","-8.276281","-46.733253"
137,"137","-59.829502","-62.391064"
138,"138","-43.236534","-53.783783"
139,"139","-26.445564","-15.077840"
140,"140","-35.999245","-32.144062"
141,"141","-42.707645","-11.296867"
142,"142","0.000000","-31.372356"
143,"143","-17.541758","0.000000"
144,"144","-9.052133","-15.627524"
145,"145","9.052133","-15.627524"
146,"146","17.541758","0.000000"
147,"147","71.996803","-30.600777"
148,"148","58.627644","-0.000000"
149,"149","71.996803","30.600777"
150,"150","25.495583","-130.631256"
151,"151","43.236534","-126.216217"
152,"152","35.999245","-147.855942"
153,"153","-43.236534","-126.216217"
154,"154","-25.495583","-130.631256"
155,"155","-35.999245","-147.855942"
156,"156","-58.627644","0.000000"
157,"157","-71.996803","-30.600777"
158,"158","-71.996803","30.600777"
159,"159","9.052133","15.627524"
160,"160","-9.052133","15.627524"
161,"161","-0.000000","31.372356"
