---,TileID,Latitude,Longitude
0,"0","-0.000000","121.717476"
1,"1","0.000000","58.282524"
2,"2","0.000000","-121.717476"
3,"3","-0.000000","-58.282524"
4,"4","58.282524","-90.000000"
5,"5","58.282524","90.000000"
6,"6","-58.282524","-90.000000"
7,"7","-58.282524","90.000000"
8,"8","-31.717474","0.000001"
9,"9","31.717474","0.000000"
10,"10","-31.717474","-180.000000"
11,"11","31.717474","180.000000"
12,"12","18.000000","148.282532"
13,"13","54.000000","148.282532"
14,"14","30.000000","110.905159"
15,"15","30.000000","69.094841"
16,"16","-0.000000","90.000000"
17,"17","-30.000000","69.094841"
18,"18","-30.000000","110.905159"
19,"19","-54.000000","148.282532"
20,"20","-18.000000","148.282532"
21,"21","0.000000","180.000000"
22,"22","54.000000","31.717474"
23,"23","18.000000","31.717474"
24,"24","54.000000","-148.282532"
25,"25","90.000000","90.000000"
26,"26","-18.000000","-148.282532"
27,"27","18.000000","-148.282532"
28,"28","-90.000000","90.000000"
29,"29","-54.000000","-148.282532"
30,"30","-18.000000","31.717474"
31,"31","-54.000000","31.717474"
32,"32","18.000000","-31.717474"
33,"33","54.000000","-31.717474"
34,"34","30.000000","-69.094841"
35,"35","30.000000","-110.905159"
36,"36","-0.000000","-90.000000"
37,"37","-30.000000","-110.905159"
38,"38","-30.000000","-69.094841"
39,"39","-54.000000","-31.717474"
40,"40","-18.000000","-31.717474"
41,"41","0.000000","-0.000000"
42,"42","7.813627","132.604568"
43,"43","25.089033","130.467728"
44,"44","12.707486","117.515739"
45,"45","42.117233","169.439224"
46,"46","35.999950","148.390656"
47,"47","26.787071","165.734390"
48,"48","46.820145","101.459465"
49,"49","43.550438","125.806572"
50,"50","59.901035","116.016869"
51,"51","15.192481","99.769737"
52,"52","0.000000","108.344208"
53,"53","46.820145","78.540535"
54,"54","31.804958","90.000000"
55,"55","-0.000000","71.655792"
56,"56","15.192481","80.230263"
57,"57","12.707486","62.484261"
58,"58","-15.192481","99.769737"
59,"59","-12.707486","117.515739"
60,"60","-12.707486","62.484261"
61,"61","-15.192481","80.230263"
62,"62","-46.820145","101.459465"
63,"63","-31.804958","90.000000"
64,"64","-46.820145","78.540535"
65,"65","-25.089033","130.467728"
66,"66","-7.813627","132.604568"
67,"67","-59.901035","116.016869"
68,"68","-43.550438","125.806572"
69,"69","-26.787071","165.734390"
70,"70","-35.999950","148.390656"
71,"71","-42.117233","169.439224"
72,"72","-0.000000","148.195038"
73,"73","-18.344208","-180.000000"
74,"74","-9.425120","164.594498"
75,"75","9.425120","164.594498"
76,"76","18.344208","-180.000000"
77,"77","25.089033","49.532276"
78,"78","7.813627","47.395424"
79,"79","59.901035","63.983135"
80,"80","43.550438","54.193428"
81,"81","26.787071","14.265608"
82,"82","35.999950","31.609339"
83,"83","42.117233","10.560778"
84,"84","71.999794","147.999420"
85,"85","71.655792","90.000000"
86,"86","42.117233","-169.439224"
87,"87","58.195042","-180.000000"
88,"88","71.655792","-90.000000"
89,"89","71.999794","-147.999420"
90,"90","59.901035","-116.016869"
91,"91","9.425120","-164.594498"
92,"92","26.787071","-165.734390"
93,"93","-26.787071","-165.734390"
94,"94","-9.425120","-164.594498"
95,"95","7.813627","-132.604568"
96,"96","-0.000000","-148.195038"
97,"97","-7.813627","-132.604568"
98,"98","-58.195042","-180.000000"
99,"99","-42.117233","-169.439224"
100,"100","-71.655792","90.000000"
101,"101","-71.999794","147.999420"
102,"102","-59.901035","-116.016869"
103,"103","-71.999794","-147.999420"
104,"104","-71.655792","-90.000000"
105,"105","-43.550438","54.193428"
106,"106","-59.901035","63.983135"
107,"107","-7.813627","47.395424"
108,"108","-25.089033","49.532276"
109,"109","-42.117233","10.560778"
110,"110","-35.999950","31.609339"
111,"111","-26.787071","14.265608"
112,"112","7.813627","-47.395424"
113,"113","25.089033","-49.532276"
114,"114","12.707486","-62.484261"
115,"115","42.117233","-10.560778"
116,"116","35.999950","-31.609339"
117,"117","26.787071","-14.265608"
118,"118","46.820145","-78.540535"
119,"119","43.550438","-54.193428"
120,"120","59.901035","-63.983135"
121,"121","15.192481","-80.230263"
122,"122","0.000000","-71.655792"
123,"123","46.820145","-101.459465"
124,"124","31.804958","-90.000000"
125,"125","-0.000000","-108.344208"
126,"126","15.192481","-99.769737"
127,"127","12.707486","-117.515739"
128,"128","-15.192481","-80.230263"
129,"129","-12.707486","-62.484261"
130,"130","-12.707486","-117.515739"
131,"131","-15.192481","-99.769737"
132,"132","-46.820145","-78.540535"
133,"133","-31.804958","-90.000000"
134,"134","-46.820145","-101.459465"
135,"135","-25.089033","-49.532276"
136,"136","-7.813627","-47.395424"
137,"137","-59.901035","-63.983135"
138,"138","-43.550438","-54.193428"
139,"139","-26.787071","-14.265608"
140,"140","-35.999950","-31.609339"
141,"141","-42.117233","-10.560778"
142,"142","-0.000000","-31.804958"
143,"143","-18.344208","0.000000"
144,"144","-9.425120","-15.405500"
145,"145","9.425120","-15.405500"
146,"146","18.344208","0.000000"
147,"147","71.999794","-32.000572"
148,"148","58.195042","-0.000000"
149,"149","71.999794","32.000572"
150,"150","25.089033","-130.467728"
151,"151","43.550438","-125.806572"
152,"152","35.999950","-148.390656"
153,"153","-43.550438","-125.806572"
154,"154","-25.089033","-130.467728"
155,"155","-35.999950","-148.390656"
156,"156","-58.195042","0.000000"
157,"157","-71.999794","-32.000572"
158,"158","-71.999794","32.000572"
159,"159","9.425120","15.405500"
160,"160","-9.425120","15.405500"
161,"161","0.000000","31.804958"
162,"162","3.368485","126.364235"
163,"163","10.631116","125.214096"
164,"164","5.455424","119.939240"
165,"165","21.771469","139.566422"
166,"166","16.141796","131.785065"
167,"167","12.843300","140.005875"
