---,TileID,Latitude,Longitude
0,"0","-0.000000","121.717476"
1,"1","0.000000","58.282524"
2,"2","0.000000","-121.717476"
3,"3","-0.000000","-58.282524"
4,"4","58.282524","-90.000000"
5,"5","58.282524","90.000000"
6,"6","-58.282524","-90.000000"
7,"7","-58.282524","90.000000"
8,"8","-31.717474","-0.000000"
9,"9","31.717474","-0.000000"
10,"10","-31.717474","180.000000"
11,"11","31.717474","-180.000000"
12,"12","18.000000","148.282532"
13,"13","54.000000","148.282532"
14,"14","30.000000","110.905159"
15,"15","30.000000","69.094841"
16,"16","0.000000","90.000000"
17,"17","-30.000000","69.094841"
18,"18","-30.000000","110.905159"
19,"19","-54.000000","148.282532"
20,"20","-18.000000","148.282532"
21,"21","0.000000","180.000000"
22,"22","54.000000","31.717474"
23,"23","18.000000","31.717474"
24,"24","54.000000","-148.282532"
25,"25","90.000000","90.000000"
26,"26","-18.000000","-148.282532"
27,"27","18.000000","-148.282532"
28,"28","-90.000000","90.000000"
29,"29","-54.000000","-148.282532"
30,"30","-18.000000","31.717474"
31,"31","-54.000000","31.717474"
32,"32","18.000000","-31.717474"
33,"33","54.000000","-31.717474"
34,"34","30.000000","-69.094841"
35,"35","30.000000","-110.905159"
36,"36","0.000000","-90.000000"
37,"37","-30.000000","-110.905159"
38,"38","-30.000000","-69.094841"
39,"39","-54.000000","-31.717474"
40,"40","-18.000000","-31.717474"
41,"41","0.000000","-0.000000"
42,"42","7.111474","131.605164"
43,"43","24.914722","130.397964"
44,"44","11.555259","117.908394"
45,"45","41.214935","170.527466"
46,"46","35.999527","148.619858"
47,"47","27.295040","166.972961"
48,"48","47.900875","100.641426"
49,"49","43.684536","125.629684"
50,"50","59.972610","113.596588"
51,"51","15.091334","99.930733"
52,"52","-0.000000","109.558701"
53,"53","47.900875","79.358574"
54,"54","31.990379","90.000000"
55,"55","-0.000000","70.441299"
56,"56","15.091334","80.069267"
57,"57","11.555259","62.091606"
58,"58","-15.091334","99.930733"
59,"59","-11.555259","117.908394"
60,"60","-11.555259","62.091606"
61,"61","-15.091334","80.069267"
62,"62","-47.900875","100.641426"
63,"63","-31.990379","90.000000"
64,"64","-47.900875","79.358574"
65,"65","-24.914722","130.397964"
66,"66","-7.111474","131.605164"
67,"67","-59.972610","113.596588"
68,"68","-43.684536","125.629684"
69,"69","-27.295040","166.972961"
70,"70","-35.999527","148.619858"
71,"71","-41.214935","170.527466"
72,"72","-0.000000","148.009628"
73,"73","-19.558699","-180.000000"
74,"74","-9.584948","164.689804"
75,"75","9.584948","164.689804"
76,"76","19.558699","-180.000000"
77,"77","24.914722","49.602036"
78,"78","7.111474","48.394840"
79,"79","59.972610","66.403412"
80,"80","43.684536","54.370319"
81,"81","27.295040","13.027040"
82,"82","35.999527","31.380148"
83,"83","41.214935","9.472528"
84,"84","71.998001","147.399445"
85,"85","70.441299","90.000000"
86,"86","41.214935","-170.527466"
87,"87","58.009621","180.000000"
88,"88","70.441299","-90.000000"
89,"89","71.998001","-147.399445"
90,"90","59.972610","-113.596588"
91,"91","9.584948","-164.689804"
92,"92","27.295040","-166.972961"
93,"93","-27.295040","-166.972961"
94,"94","-9.584948","-164.689804"
95,"95","7.111474","-131.605164"
96,"96","0.000000","-148.009628"
97,"97","-7.111474","-131.605164"
98,"98","-58.009621","-180.000000"
99,"99","-41.214935","-170.527466"
100,"100","-70.441299","90.000000"
101,"101","-71.998001","147.399445"
102,"102","-59.972610","-113.596588"
103,"103","-71.998001","-147.399445"
104,"104","-70.441299","-90.000000"
105,"105","-43.684536","54.370319"
106,"106","-59.972610","66.403412"
107,"107","-7.111474","48.394840"
108,"108","-24.914722","49.602036"
109,"109","-41.214935","9.472528"
110,"110","-35.999527","31.380148"
111,"111","-27.295040","13.027040"
112,"112","7.111474","-48.394840"
113,"113","24.914722","-49.602036"
114,"114","11.555259","-62.091606"
115,"115","41.214935","-9.472528"
116,"116","35.999527","-31.380148"
117,"117","27.295040","-13.027040"
118,"118","47.900875","-79.358574"
119,"119","43.684536","-54.370319"
120,"120","59.972610","-66.403412"
121,"121","15.091334","-80.069267"
122,"122","-0.000000","-70.441299"
123,"123","47.900875","-100.641426"
124,"124","31.990379","-90.000000"
125,"125","-0.000000","-109.558701"
126,"126","15.091334","-99.930733"
127,"127","11.555259","-117.908394"
128,"128","-15.091334","-80.069267"
129,"129","-11.555259","-62.091606"
130,"130","-11.555259","-117.908394"
131,"131","-15.091334","-99.930733"
132,"132","-47.900875","-79.358574"
133,"133","-31.990379","-90.000000"
134,"134","-47.900875","-100.641426"
135,"135","-24.914722","-49.602036"
136,"136","-7.111474","-48.394840"
137,"137","-59.972610","-66.403412"
138,"138","-43.684536","-54.370319"
139,"139","-27.295040","-13.027040"
140,"140","-35.999527","-31.380148"
141,"141","-41.214935","-9.472528"
142,"142","-0.000000","-31.990379"
143,"143","-19.558699","0.000000"
144,"144","-9.584948","-15.310190"
145,"145","9.584948","-15.310190"
146,"146","19.558699","0.000000"
147,"147","71.998001","-32.600548"
148,"148","58.009621","-0.000000"
149,"149","71.998001","32.600548"
150,"150","24.914722","-130.397964"
151,"151","43.684536","-125.629684"
152,"152","35.999527","-148.619858"
153,"153","-43.684536","-125.629684"
154,"154","-24.914722","-130.397964"
155,"155","-35.999527","-148.619858"
156,"156","-58.009621","0.000000"
157,"157","-71.998001","-32.600548"
158,"158","-71.998001","32.600548"
159,"159","9.584948","15.310190"
160,"160","-9.584948","15.310190"
161,"161","0.000000","31.990379"
162,"162","2.765676","125.529869"
163,"163","9.485360","124.829453"
164,"164","4.477777","120.259430"
165,"165","21.683868","139.372467"
166,"166","15.564794","131.294617"
167,"167","12.496867","139.479095"
